id,question,expected_answer,source_document,difficulty,failure_class,notes
Q01,How many working days of annual leave is a confirmed staff member entitled to?,25 working days,sahel-employee-handbook-2025.pdf,hard,staleness,"2023 edition says 21. Answering 21 is faithful to a retrieved chunk and wrong."
Q02,What is the domestic per diem for staff travelling on Bank business?,"NGN 60,000 per night",sahel-employee-handbook-2025.pdf,hard,staleness,2023 edition says NGN 35000
Q03,How many days per week may Head Office staff work remotely?,Two days per week under the hybrid working scheme,sahel-employee-handbook-2025.pdf,hard,staleness,2023 edition says one day
Q04,How long is the probationary period?,Four months,sahel-employee-handbook-2025.pdf,hard,staleness,2023 edition says six months
Q05,How much annual leave may be carried into the following year and by when must it be used?,"Up to 10 working days, exhausted by 31 March",sahel-employee-handbook-2025.pdf,hard,staleness+multi-fact,Two facts in one sentence; 2023 says 5 days
Q06,What notice period applies to confirmed staff on resignation?,Two months,sahel-employee-handbook-2025.pdf,hard,staleness,
Q07,Is accrued leave paid out if a staff member is dismissed for gross misconduct?,No — paid in lieu on resignation but not on dismissal for gross misconduct,sahel-employee-handbook-2025.pdf,medium,negation,Requires reading the exception clause not just the rule
Q08,Within how many hours must a material cyber incident be notified to the Commission?,24 hours,nfsc-circular-2025-02-amendment.pdf,hard,amendment,"2024/07 says 72 hours and does not restate; the amendment reduces it"
Q09,What financial loss makes a cyber incident material?,NGN 5 million,nfsc-circular-2025-02-amendment.pdf,hard,amendment,2024/07 says NGN 10 million
Q10,By when must an institution with total assets below NGN 5 billion encrypt customer data at rest?,30 September 2025,nfsc-circular-2025-02-amendment.pdf,hard,amendment+table,Original schedule says 31 December 2025; amendment brings it forward
Q11,How many institutions may share a Chief Information Security Officer?,No more than three,nfsc-circular-2025-02-amendment.pdf,medium,clarification,Only in the amendment; 2024/07 permits sharing without a limit
Q12,Can SMS one-time password alone satisfy multi-factor authentication for privileged accounts?,No,nfsc-circular-2024-07-cybersecurity.pdf,medium,negation,Unamended so 2024/07 is correct here
Q13,What penalty applies for missing a compliance date without a written extension?,"NGN 2 million plus NGN 100,000 for each day the breach continues",nfsc-circular-2024-07-cybersecurity.pdf,easy,lookup,
Q14,Who approves a purchase of NGN 3 million?,Management Procurement Committee,sahel-procurement-policy-v3.pdf,medium,table-band,"Falls in the 2,500,001–15,000,000 band; easy to get wrong if the table was chunked mid-row"
Q15,What is the maximum value of an emergency procurement without competitive sourcing?,"NGN 5,000,000",sahel-procurement-policy-v3.pdf,easy,lookup,
Q16,How many written quotations are needed for a purchase of NGN 1.8 million?,Three,sahel-procurement-policy-v3.pdf,medium,table-band,
Q17,Can a vendor registered for eight months receive an advance payment?,No — advance payment to a vendor registered for less than twelve months is not permitted,sahel-procurement-policy-v3.pdf,medium,negation,
Q18,What was Kaduna Agro Processing's revenue in 2020?,NGN 7.1 billion,kaduna-agro-annual-report-2024.pdf,hard,chart-only,Value exists only in Figure 1; text-only pipelines cannot answer
Q19,In which year was gross margin lowest and what was it?,2020 at 6.8 per cent,kaduna-agro-annual-report-2024.pdf,hard,chart-only,Requires reading the line series
Q20,What was capacity utilisation across all facilities in 2024?,79.8 per cent,kaduna-agro-annual-report-2024.pdf,easy,lookup,In prose — contrast with Q18 which is not
Q21,What was the volume and utilisation at the Sokoto North distribution point?,See distribution table row for Sokoto / Sokoto North,kaduna-agro-annual-report-2024.pdf,hard,page-spanning-table,Row falls after the page break; headless chunks will fail
Q22,Why was the lowest bidder not recommended for the haulage contract?,Its fleet averaged eleven years and it had no depot presence north of Ilorin,kaduna-agro-board-minutes-2024-10-17.pdf,medium,attribution,Stated by Mr Adeyemi in response to Dr Yusuf
Q23,Which director withdrew from the haulage contract decision and why?,Mr Emeka Nwosu — he is a director of a shortlisted bidder,kaduna-agro-board-minutes-2024-10-17.pdf,hard,attribution,Declaration is in item 1; withdrawal in item 5
Q24,How long is a Tax Clearance Certificate valid?,Until 31 December of the year of issue,kdirs-guidance-note-4-2024-SCANNED.pdf,hard,ocr-required,No text layer; pipeline must detect and route to OCR
Q25,What is the maternity leave entitlement for staff with six months of service?,Not entitled — maternity leave requires twelve months of continuous service,sahel-employee-handbook-2025.pdf,hard,negation+trap,Tests whether the system reasons over the condition rather than reciting the entitlement
Q26,What is Sahel Microfinance Bank's dividend policy?,Not in corpus — the system should decline,,hard,abstention,Deliberate absence; a system that answers this is hallucinating
Q27,How many branches does Kaduna Agro Processing operate?,Not in corpus — Kaduna Agro has distribution points not branches; Sahel has 22 branches,,hard,abstention+conflation,Tests whether the system conflates the two organisations
Q28,What per diem does memorandum SMB/HR/MEMO/2024/41 set?,"NGN 60,000 per night",sahel-hr-memo-2024-41-TRACKED.docx,hard,tracked-changes,"python-docx drops both values; naive XML strip yields ""NGN 35,000 per nightNGN 60,000 per night"""
Q29,What is revenue per tonne at the Ikeja distribution point?,Computed from the Volume and Revenue columns,kaduna-agro-distribution-2024.xlsx,hard,formula-no-cache,Column F holds a formula with no cached value; data_only=True returns None
Q30,What was total distribution volume in 2024?,"271,400 tonnes (audited)",kaduna-agro-distribution-2024.xlsx,hard,hidden-sheet,"Hidden sheet holds a superseded pre-audit figure of 264,100 — a pipeline that reads all sheets surfaces the wrong number"
Q31,What is the remaining capital requirement for the Ogbomoso commissioning?,"NGN 2.4 billion, of which NGN 1.6 billion is uncommitted",kaduna-agro-board-deck-2025-01.pptx,hard,speaker-notes-only,Appears only in speaker notes; extractors that read slide shapes only will miss it
Q32,Which three distribution points were approved for closure?,"Offa, Ekpoma and Bonny",kaduna-agro-board-deck-2025-01.pptx,hard,speaker-notes-only,"Slide says ""three closures approved"" without naming them; names are in the notes"
Q33,Does the revised per diem apply to a journey approved in December 2024 but commencing in January 2025?,"Yes — Finance applies it to journeys commencing on or after 1 January 2025 regardless of approval date",sahel-per-diem-thread.eml,medium,email-thread,Answer is in the top reply; the quoted history repeats the question
Q34,Are corps members on official travel covered by the revised per diem?,"No — not covered; the welfare review did not consider them",sahel-per-diem-thread.eml,hard,email-thread+negation,"Also flagged as unresolved in the DOCX reviewer note — two sources, one answers it"
Q35,How many vendors are on the approved vendor extract?,Five,sahel-approved-vendors.csv,medium,embedded-newlines,"wc -l reports 14 lines; embedded newlines in address fields make line count and record count differ"
